id,title,release_year,imdb_score,imdb_votes
ts20981,Survivor,2000,7.4,24368.0
ts21567,Gilmore Girls,2000,8.19999999999999,119054.0
ts21034,InuYasha,2000,7.9,15823.0
tm19673,The Patriot,2000,7.2,270231.0
tm24877,Road Trip,2000,6.5,167670.0
tm19494,The Replacements,2000,6.6,64087.0
tm21596,Hollow Man,2000,5.8,130099.0
tm17721,Under Suspicion,2000,6.5,25432.0
ts21581,Girlfriends,2000,7.2,4482.0
ts28516,Okupas,2000,9.0,2326.0
tm27601,Phir Bhi Dil Hai Hindustani,2000,6.1,7556.0
tm34391,Before the Flying Circus,2000,7.3,161.0
tm25389,Fiza,2000,6.0,4168.0
ts4,Breaking Bad,2008,9.5,1727694.0
ts26091,The Staircase,2004,7.8,21531.0
ts21469,Grey's Anatomy,2005,7.6,293618.0
ts6495,Criminal Minds,2005,8.1,189191.0
ts22337,NCIS,2003,7.8,141049.0
ts8308,Community,2009,8.5,252564.0
ts22011,Heartland,2007,8.4,15743.0
ts21465,Supernatural,2005,8.5,428639.0
tm33545,Forgetting Sarah Marshall,2008,7.1,280121.0
tm172683,War of the Worlds,2005,6.5,439027.0
ts17156,Arrested Development,2003,8.69999999999999,297552.0
ts20573,The IT Crowd,2006,8.5,147409.0
ts12724,30 Rock,2006,8.3,121514.0
ts3371,Avatar: The Last Airbender,2005,9.3,297336.0
ts20604,Friday Night Lights,2006,8.69999999999999,64449.0
tm39030,Casino Royale,2006,8.0,644336.0
tm78592,Michael Clayton,2007,7.2,163878.0
ts19036,The Fairly OddParents,2001,7.2,38046.0
tm116324,Jackass: The Movie,2002,6.6,92305.0
ts32186,Sonic X,2003,6.1,4577.0
ts11313,DEATH NOTE,2006,9.0,302147.0
tm34310,Zoolander,2001,6.5,260975.0
ts21247,The Vampire Diaries,2009,7.7,310776.0
tm160815,Charlie and the Chocolate Factory,2005,6.6,465995.0
tm78671,Cleaner,2007,6.1,41052.0
tm89036,Harold & Kumar Go to White Castle,2004,7.0,193053.0
tm105329,Road to Perdition,2002,7.7,263212.0
ts20305,Naruto,2002,8.4,93980.0
tm35463,Blow,2001,7.5,255099.0
tm84371,Shooter,2007,7.2,329417.0
tm139658,Big Fish,2003,8.0,435503.0
tm79442,The Bourne Ultimatum,2007,8.0,627009.0
tm131038,Public Enemies,2009,7.0,297525.0
ts2230,America's Next Top Model,2003,5.6,17843.0
tm154187,Sherlock Holmes,2009,7.6,620154.0
tm133767,Love Actually,2003,7.6,474176.0
tm88738,Closer,2004,7.2,215678.0
ts17942,Chappelle's Show,2003,8.8,62140.0
tm148270,Something's Gotta Give,2003,6.7,120400.0
tm133374,The Blind Side,2009,7.6,323939.0
tm26897,Quantum of Solace,2008,6.6,441023.0
tm109304,The Ring,2002,7.1,341888.0
ts22267,Trailer Park Boys,2001,8.6,41791.0
tm76066,Into the Wild,2007,8.1,611379.0
tm29737,Rambo,2008,7.0,228799.0
tm84906,Stardust,2007,7.6,269043.0
tm142086,The Last Samurai,2003,7.8,429097.0
ts22018,iCarly,2007,6.7,38281.0
tm136808,Identity,2003,7.3,240433.0
ts21197,Merlin,2008,7.9,80138.0
tm84613,Hairspray,2007,6.7,128190.0
tm173551,Corpse Bride,2005,7.3,265023.0
tm136308,Monster,2003,7.3,149218.0
tm82985,Without a Paddle,2004,5.8,47049.0
tm145593,Once Upon a Time in Mexico,2003,6.3,160449.0
tm150260,Cloudy with a Chance of Meatballs,2009,6.9,226225.0
tm119111,Blade II,2002,6.7,214461.0
tm130647,Chloe,2009,6.3,72916.0
tm32919,Blood Diamond,2006,8.0,536858.0
tm23935,The Lake House,2006,6.8,148043.0
tm137143,Terminator 3: Rise of the Machines,2003,6.3,393998.0
tm28905,Beerfest,2006,6.2,67748.0
tm44486,Heist,2001,6.5,36361.0
tm39487,Catch and Release,2006,5.9,26157.0
tm169949,Just Like Heaven,2005,6.7,106755.0
ts35155,Gurren Lagann,2007,8.3,17024.0
tm184913,Four Brothers,2005,6.8,144656.0
tm118637,John Q,2002,7.0,131999.0
tm58382,Not Another Teen Movie,2001,5.7,104604.0
tm40009,21,2008,6.8,247039.0
ts12787,Code Geass: Lelouch of the Rebellion,2006,8.69999999999999,62367.0
tm154470,Terminator Salvation,2009,6.5,357557.0
tm22294,Deck the Halls,2006,5.0,27797.0
tm78067,The Girl Next Door,2007,6.5,26035.0
tm148379,The Cat in the Hat,2003,4.0,81971.0
tm21467,Final Destination 3,2006,5.8,139797.0
tm46436,Thir13en Ghosts,2001,5.6,86492.0
tm57190,The One,2001,5.9,91584.0
tm37546,Happy Feet,2006,6.4,182612.0
tm30205,Ip Man,2008,8.0,221095.0
tm159310,Coach Carter,2005,7.3,143670.0
tm89592,Blade: Trinity,2004,5.8,175210.0
tm167516,Monster-in-Law,2005,5.5,60693.0
tm79895,Halloween,2007,6.0,118815.0
tm111600,The Sweetest Thing,2002,5.1,58516.0
tm143938,The Final Destination,2009,5.1,104166.0
tm31187,The Other Boleyn Girl,2008,6.7,111694.0
tm141390,Friday the 13th,2009,5.5,105938.0
tm74780,The Bucket List,2007,7.4,242733.0
tm150214,Freddy vs. Jason,2003,5.7,117986.0
tm176528,Memoirs of a Geisha,2005,7.3,146847.0
tm36188,Body of Lies,2008,7.1,224896.0
tm88382,A Cinderella Story,2004,5.9,86395.0
ts31263,The Mole,2001,7.6,1104.0
tm47523,Osmosis Jones,2001,6.3,35711.0
tm24088,Scary Movie 4,2006,5.1,120188.0
tm137362,The Texas Chainsaw Massacre,2003,6.2,140741.0
tm177068,Fun with Dick and Jane,2005,6.1,143998.0
tm82442,TMNT,2007,6.2,64062.0
ts687,The 4400,2004,7.3,44971.0
ts24028,Still Game,2002,8.9,7539.0
tm142564,3 Idiots,2009,8.4,385782.0
ts23752,Midnight Diner,2009,8.6,2110.0
ts21706,H2O: Just Add Water,2006,7.2,14782.0
ts21740,Black Butler,2008,8.3,1856.0
tm89684,New York Minute,2004,4.8,23307.0
ts31514,Strawberry Shortcake,2003,7.0,13.0
ts22005,Total Drama Island,2007,7.4,10523.0
tm183963,Dreamer: Inspired By a True Story,2005,6.8,13034.0
tm27268,Monster House,2006,6.6,114942.0
